,Vx,Vy,H,B,,,,,Constants,
,(V),(V),,,,,,,Mew_0 ,1.26E-06
,,,,,,,,,np,400
9.59999976,0.8704478,-0.2683317,4.01E+03,-4.92E-01,,,,,,
9.64999976,0.8704478,-0.2209646,4.01E+03,-4.05E-01,,,,,,
9.69999975,0.9494956,-0.189407,4.38E+03,-3.47E-01,,,,,,
9.74999975,1.028543,-0.1420399,4.74E+03,-2.61E-01,,,,,,
9.79999975,1.107591,-0.1104823,5.10E+03,-2.03E-01,,,,,,
9.84999975,1.107591,-0.06311516,5.10E+03,-1.16E-01,,,,,,
9.89999975,1.186946,-0.03155758,5.47E+03,-5.79E-02,,,,,,
9.94999975,1.265994,0.01574803,5.83E+03,2.89E-02,,,,,,
9.99999975,1.265994,0.04730561,5.83E+03,8.68E-02,,,,,,
10.04999975,1.42409,0.09467274,6.56E+03,1.74E-01,,,,,,
10.09999974,1.42409,0.1420399,6.56E+03,2.61E-01,,,,,,
10.14999974,1.503445,0.1735975,6.93E+03,3.18E-01,,,,,,
10.19999974,1.582493,0.2209646,7.29E+03,4.05E-01,,,,,,
10.24999974,1.582493,0.2525221,7.29E+03,4.63E-01,,,,,,
10.29999974,1.66154,0.2998893,7.66E+03,5.50E-01,,,,,,
10.34999974,1.740896,0.3314469,8.02E+03,6.08E-01,,,,,,
10.39999974,1.819943,0.378814,8.39E+03,6.95E-01,,,,,,
10.44999974,1.898991,0.4103716,8.75E+03,7.53E-01,,,,,,
10.49999973,1.978039,0.4577387,9.12E+03,8.39E-01,,,,,,
10.54999973,1.978039,0.4892963,9.12E+03,8.97E-01,,,,,,
10.59999973,2.057394,0.5366634,9.48E+03,9.84E-01,,,,,,
10.64999973,2.136442,0.568221,9.85E+03,1.04E+00,,,,,,
10.69999973,2.136442,0.6155881,9.85E+03,1.13E+00,,,,,,
10.74999973,2.21549,0.6471456,1.02E+04,1.19E+00,,,,,,
10.79999973,2.294538,0.6945128,1.06E+04,1.27E+00,,,,,,
10.84999973,2.373893,0.7260704,1.09E+04,1.33E+00,,,,,,
10.89999972,2.45294,0.7734375,1.13E+04,1.42E+00,,,,,,
10.94999972,2.531988,0.8049951,1.17E+04,1.48E+00,,,,,,
10.99999972,2.611344,0.8523622,1.20E+04,1.56E+00,,,,,,
11.04999972,2.690391,0.8839197,1.24E+04,1.62E+00,,,,,,
11.09999972,2.690391,0.9154773,1.24E+04,1.68E+00,,,,,,
11.14999972,2.769439,0.9628445,1.28E+04,1.77E+00,,,,,,
11.19999972,2.848487,0.9944021,1.31E+04,1.82E+00,,,,,,
11.24999972,2.927842,1.02596,1.35E+04,1.88E+00,,,,,,
11.29999971,3.00689,1.073327,1.39E+04,1.97E+00,,,,,,
11.34999971,3.00689,1.104884,1.39E+04,2.03E+00,,,,,,
11.39999971,3.085938,1.136442,1.42E+04,2.08E+00,,,,,,
11.44999971,3.164985,1.168,1.46E+04,2.14E+00,,,,,,
11.49999971,3.24434,1.215367,1.50E+04,2.23E+00,,,,,,
11.54999971,3.323388,1.246924,1.53E+04,2.29E+00,,,,,,
11.59999971,3.402436,1.278543,1.57E+04,2.34E+00,,,,,,
11.64999971,3.402436,1.310101,1.57E+04,2.40E+00,,,,,,
